"","gene_symbol","factor_ids"
"1","HOXD13","557"
"2","Scr","909"
"3","Abd-B","1023"
"4","abd-A","998"
"5","Dll","844"
"6","Ubx","857"
"7","VSX1","62"
"8","Alx1","504"
"9","ALX3","505"
"10","Dlx1","115"
"11","DLX2","515"
"12","DLX3","516"
"13","DLX5","518"
"14","EN2","526"
"15","GBX1","530"
"16","GSC","532"
"17","GSC2","533"
"18","HESX1","536"
"19","Hoxc10","190"
"20","HOXC11","552"
"21","HOXC12","553"
"22","HOXD12","556"
"23","Hoxd9","559"
"24","LHX2","565"
"25","Lhx8","229"
"26","MEOX1","573"
"27","MEOX2","574"
"28","MIXL1","576"
"29","MNX1","577"
"30","MSX1","578"
"31","MSX2","579"
"32","NKX2-3","580"
"33","NKX2-8","581"
"34","Nkx3-1","266"
"35","NKX3-1","582"
"36","NKX6-1","584"
"37","NKX6-2","585"
"38","PAX3","666"
"39","PAX7","44"
"40","PHOX2A","592"
"41","PITX3","595"
"42","POU2F2","619"
"43","POU2F3","620"
"44","POU3F4","624"
"45","POU4F2","626"
"46","POU6F2","628"
"47","PROP1","598"
"48","PRRX1","599"
"49","Prrx2","310"
"50","RAX2","602"
"51","SHOX","605"
"52","Uncx","382"
"53","POU4F3","627"
"54","Meox2","575"
"55","SHOX2","606"
"56","POU3F3","623"
"57","Arx","93"
"58","PAX4","667"
"59","LMX1B","568"
"60","ALX1","511"
"61","HOXC10","551"
"62","RHOXF1","604"
"63","HOXD3","3372"
"64","HOXA13","545"
"65","LHX8","3383"
"66","VENTX","613"
"67","ALX4","506"
"68","HOXA1","543"
"69","RAX","601"
"70","VSX2","614"
"71","Awh","878"
"72","B-H2","817"
"73","bsh","816"
"74","cad","827"
"75","CG11294","870"
"76","CG34367","906"
"77","CG9876","936"
"78","exex","973"
"79","ftz","848"
"80","HGTX","800"
"81","lab","849"
"82","Lim1","806"
"83","lms","910"
"84","nub","1057"
"85","otp","871"
"86","Pb","919"
"87","Ptx1","830"
"88","repo","815"
"89","tin","858"
"90","toe","823"
"91","toy","890"
"92","unc-4","997"
"93","HNF1A","540"
"94","PAX6","669"
"95","ARGFX","3336"
"96","BSX","510"
"97","DPRX","521"
"98","DUXA","523"
"99","EMX1","524"
"100","ESX1","527"
"101","GBX2","531"
"102","HMBOX1","1670"
"103","HMX2","538"
"104","HOXA9","1104"
"105","HOXB13","547"
"106","HOXB2","548"
"107","HOXB4","1105"
"108","HOXC4","3368"
"109","ISL2","562"
"110","LHX1","3380"
"111","LHX5","3382"
"112","LHX9","566"
"113","NKX2-5","1151"
"114","NKX3-2","583"
"115","ONECUT2","588"
"116","ONECUT3","503"
"117","OTX2","590"
"118","PITX1","594"
"119","POU1F1","617"
"120","RHOXF2","3398"
"121","SIX1","1180"
"122","SIX4","2937"
"123","SIX6","3400"
"124","TLX3","3416"
"125","CDX2","513"
"126","CUX2","616"
"127","DLX1","514"
"128","DMBX1","520"
"129","EN1","24"
"130","HMX3","539"
"131","Hoxa11","173"
"132","Hoxd13","203"
"133","Hoxd3","204"
"134","ISX","563"
"135","LMX1A","567"
"136","NOTO","586"
"137","Otx1","278"
"138","POU3F1","621"
"139","Shox2","329"
"140","UNCX","610"
"141","BARHL2","508"
"142","PRRX2","600"
"143","PITX2","3395"
"144","ARX","507"
"145","EVX1","528"
"146","BARHL1","3340"
"147","CUX1","615"
"148","CG32532","964"
"149","eve","958"
"150","Gsc","14"
"151","lbe","946"
"152","oc","952"
"153","OdsH","978"
"154","Rx","1554"
"155","so","855"
"156","Vsx2","1548"
"157","zen2","912"
"158","DLX4","517"
"159","DRGX","522"
"160","EVX2","529"
"161","GSX1","534"
"162","HOXA2","546"
"163","HOXA4","3362"
"164","HOXA5","1541"
"165","HOXB7","1106"
"166","HOXD10","3371"
"167","HOXD9","3374"
"168","ISL1","1114"
"169","ONECUT1","587"
"170","OTX1","589"
"171","POU5F1","1170"
"172","VAX1","611"
"173","Alx4","89"
"174","Barhl1","98"
"175","CDX1","512"
"176","Dlx2","116"
"177","DLX6","519"
"178","EMX2","525"
"179","Hmbox1","165"
"180","HNF1B","541"
"181","HOXD11","555"
"182","Nkx6-1","267"
"183","POU2F1","618"
"184","En2","129"
"185","HOXC13","554"
